label,Accuracy,Macro F1,AUC-ROC,MCC,FNR
TF-IDF + LR,0.94,0.94,0.9841,0.8802,0.0673
CNN,0.9482,0.9482,0.9881,0.8965,0.0579
BiLSTM + Attention,0.9523,0.9522,0.9898,0.9046,0.0534
DistilBERT,0.9785,0.9785,0.9971,0.9569,0.0239
MentalBERT,0.9805,0.9805,0.9974,0.961,0.0208
RoBERTa,0.9915,0.9915,0.9992,0.983,0.0097
